Date,Close,DOW,JNJ,NVS,AvgClose60Days,GeneralStockPrice,Competitor1,Competitor2
2/13/09,55.549999,7850.410156,57.099998,42.73,,,,
2/17/09,53.200001,7552.600098,55.98,41.790001,,,,
2/18/09,53.299999,7555.629883,55.830002,41.900002,,,,
2/19/09,53.75,7465.950195,55.93,41.110001,,,,
2/20/09,51.91,7365.669922,54.650002,40.849998,,,,
2/23/09,52,7114.779785,53.650002,40.380001,,,,
2/24/09,51.25,7350.939941,54.540001,38.849998,,,,
2/25/09,50.66,7270.890137,53.959999,37.689999,,,,
2/26/09,48.5,7182.080078,52.439999,36.310001,,,,
2/27/09,48.5,7062.930176,50,36.25,,,,
3/2/09,45.700001,6763.290039,47.919998,34.610001,,,,
3/3/09,45.5,6726.02002,47.639999,33.959999,,,,
3/4/09,47,6875.839844,49.099998,34.279999,,,,
3/5/09,45.299999,6594.439941,47.669998,34.41,,,,
3/6/09,45.299999,6626.939941,47.970001,34.740002,,,,
3/9/09,45.299999,6547.049805,46.599998,34.529999,,,,
3/10/09,46.5,6926.490234,47.779999,34.700001,,,,
3/11/09,48.099998,6930.399902,47.900002,33.990002,,,,
3/12/09,48.349998,7170.060059,49,35.07,,,,
3/13/09,48.5,7223.97998,50.639999,35.650002,,,,
3/16/09,47.349998,7216.970215,50.73,36.360001,,,,
3/17/09,43.299999,7395.700195,50.720001,37.34,,,,
3/18/09,44.549999,7486.580078,50.66,37.98,,,,
3/19/09,46.25,7400.799805,50.060001,37.790001,,,,
3/20/09,49.849998,7278.379883,51.669998,37.66,,,,
3/23/09,51.75,7775.859863,53.23,38.459999,,,,
3/24/09,52.720001,7659.970215,52.700001,37.849998,,,,
3/25/09,52.25,7749.810059,52.860001,38.52,,,,
3/26/09,52.049999,7924.560059,52.900002,38.84,,,,
3/27/09,49.650002,7776.180176,52.830002,37.02,,,,
3/30/09,47.549999,7522.02002,53.009998,36.549999,,,,
3/31/09,47.450001,7608.919922,52.599998,37.830002,,,,
4/1/09,47.450001,7761.600098,53.040001,38.18,,,,
