Date,Open,High,Low,Close,Adj Close,Volume
2/13/2009,55.549999,55.549999,55.549999,55.549999,44.911427,100
2/17/2009,53.400002,53.400002,53.099998,53.200001,43.011486,400
2/18/2009,53.400002,53.400002,53.299999,53.299999,43.092339,300
2/19/2009,54.25,54.25,53.75,53.75,43.456146,500
2/20/2009,52.299999,52.299999,51.900002,51.91,41.968533,500
2/23/2009,53.540001,53.540001,51.75,52,42.041302,1100
2/24/2009,52.5,52.5,51.25,51.25,41.434929,2500
2/25/2009,50.66,50.66,50.66,50.66,40.957924,100
2/26/2009,48.5,48.5,48.5,48.5,39.211594,100
2/27/2009,47.700001,48.650002,47.700001,48.5,39.211594,1700
3/2/2009,46.349998,46.349998,45.5,45.700001,36.947834,4700
3/3/2009,46.099998,46.099998,45.5,45.5,36.786133,1100
3/4/2009,47,47,47,47,37.998867,1200
3/5/2009,44.900002,45.299999,44.900002,45.299999,36.624443,400
3/6/2009,45.299999,45.299999,45.299999,45.299999,36.624443,0
3/9/2009,45.299999,45.299999,45.299999,45.299999,36.624443,0
3/10/2009,46,46.5,46,46.5,37.594624,300
3/11/2009,48.099998,48.099998,48.099998,48.099998,38.888203,200
3/12/2009,47.549999,48.349998,47.549999,48.349998,39.090324,600
3/13/2009,48.5,48.5,48.5,48.5,39.211594,100
3/16/2009,47.799999,47.799999,47.349998,47.349998,38.281837,300
3/17/2009,43.299999,43.299999,43.299999,43.299999,35.007462,100
3/18/2009,44.599998,44.599998,44.549999,44.549999,36.01807,400
3/19/2009,46,46.380001,46,46.25,37.392502,2700
3/20/2009,49.849998,49.849998,49.849998,49.849998,40.303055,300
3/23/2009,51.349998,51.75,51.349998,51.75,41.839176,1600
3/24/2009,52.720001,52.720001,52.720001,52.720001,42.623413,200
3/25/2009,53.049999,53.049999,52.25,52.25,42.243416,600
3/26/2009,51.720001,52.049999,51.720001,52.049999,42.081726,300
3/27/2009,50.080002,50.080002,49.650002,49.650002,40.141357,600
3/30/2009,47.5,47.549999,47.5,47.549999,38.443531,400
3/31/2009,47.450001,47.450001,47.450001,47.450001,38.36269,200
4/1/2009,47.450001,47.450001,47.450001,47.450001,38.36269,0
4/2/2009,49,49,49,49,39.615841,100
4/3/2009,48.799999,48.799999,48.799999,48.799999,39.454144,100
4/6/2009,49.900002,49.900002,49.900002,49.900002,40.343472,3000
4/7/2009,49.900002,49.900002,49.900002,49.900002,40.343472,0
4/8/2009,49.349998,49.349998,49.349998,49.349998,39.898811,100
4/9/2009,49.650002,49.650002,49.599998,49.599998,40.100929,1200
4/13/2009,49.950001,49.950001,49.950001,49.950001,40.383907,100
4/14/2009,49.400002,49.400002,49.400002,49.400002,39.93924,100
4/15/2009,49.950001,49.950001,49.950001,49.950001,40.383907,100
4/16/2009,50.25,50.349998,50.25,50.349998,40.707294,200
4/17/2009,50.25,50.25,50.25,50.25,40.626446,100
4/20/2009,48.900002,48.900002,48.880001,48.880001,39.518818,1200
4/21/2009,50,50.799999,50,50.799999,41.071117,3300
