Date,Close,DOW,ITW,HON,AvgClose60Days,GeneralStockPrice,ITWStocks,HONStocks
1/2/09,59.189999,9034.69043,36.669998,33.043789,,,,
1/5/09,58.5,8952.889648,36.27,32.872181,,,,
1/6/09,59.189999,9015.099609,36.939999,34.359436,,,,
1/7/09,58.07,8769.700195,35.84,32.843578,,,,
1/8/09,58.580002,8742.459961,37,32.986584,,,,
1/9/09,57.740002,8599.179688,36.279999,32.548035,,,,
1/12/09,57.080002,8473.969727,35.59,32.19529,,,,
1/13/09,56.25,8448.55957,35.18,31.823475,,,,
1/14/09,55.040001,8200.139648,34.490002,30.507824,,,,
1/15/09,55.169998,8212.490234,35.099998,31.108448,,,,
1/16/09,56.419998,8281.219727,34.630001,31.403992,,,,
1/20/09,53.919998,7949.089844,33.43,30.059742,,,,
1/21/09,54.240002,8228.099609,34.43,30.879639,,,,
1/22/09,54.060001,8122.799805,33.630001,30.479223,,,,
1/23/09,52.900002,8077.560059,33.040001,30.708033,,,,
1/26/09,53.560001,8116.029785,33.18,31.632801,,,,
1/27/09,53.990002,8174.72998,34.529999,32.328762,,,,
1/28/09,55.419998,8375.450195,34.900002,33.091457,,,,
1/29/09,56.549999,8149.009766,33.799999,31.146582,,,,
1/30/09,53.790001,8000.859863,32.66,31.280054,,,,
2/2/09,50.619999,7936.75,32.470001,30.345753,,,,
2/3/09,51.639999,8078.359863,34,30.21228,,,,
2/4/09,50.84,7956.660156,34.540001,30.841505,,,,
2/5/09,51.549999,8063.069824,35.599998,31.003576,,,,
2/6/09,52.389999,8280.589844,35.82,31.880676,,,,
2/9/09,54.110001,8270.870117,35.970001,31.985548,,,,
2/10/09,51.080002,7888.879883,34.150002,30.479223,,,,
2/11/09,51.290001,7939.529785,35.060001,30.688965,,,,
2/12/09,49.970001,7932.759766,34.77,30.383886,,,,
2/13/09,49.419998,7850.410156,35.119999,31.518396,,,,
2/17/09,47.419998,7552.600098,32.959999,29.783264,,,,
2/18/09,47.139999,7555.629883,32.779999,28.877563,,,,
2/19/09,47.07,7465.950195,31.33,28.82036,,,,
2/20/09,47.25,7365.669922,30.709999,27.495176,,,,
2/23/09,45.41,7114.779785,29.389999,26.44647,,,,
2/24/09,47.400002,7350.939941,30,27.409374,,,,
2/25/09,46.610001,7270.890137,29.299999,26.942223,,,,
2/26/09,46.330002,7182.080078,28.48,26.274864,,,,
2/27/09,45.459999,7062.930176,27.799999,25.578905,,,,
3/2/09,42.84,6763.290039,26.32,23.796103,,,,
3/3/09,43.119999,6726.02002,27.549999,23.548227,,,,
3/4/09,44.82,6875.839844,28.43,24.177452,,,,
3/5/09,42.509998,6594.439941,26.190001,22.795065,,,,
3/6/09,41.830002,6626.939941,26.799999,22.499521,,,,
3/9/09,42.07,6547.049805,26.309999,22.146774,,,,
3/10/09,45.490002,6926.490234,27.799999,24.244186,,,,
3/11/09,46.799999,6930.399902,28.1,25.416832,,,,
3/12/09,48,7170.060059,28.389999,26.05559,,,,
3/13/09,48,7223.97998,27.85,25.674242,,,,
3/16/09,47.470001,7216.970215,26.940001,25.79818,,,,
3/17/09,48.759998,7395.700195,27.32,26.274864,,,,
3/18/09,49.200001,7486.580078,27.85,27.028027,,,,
3/19/09,47.470001,7400.799805,28.75,26.722948,,,,
3/20/09,45.93,7278.379883,27.74,25.693308,,,,
3/23/09,49.32,7775.859863,29.73,27.590513,,,,
3/24/09,48.299999,7659.970215,30.35,27.590513,,,,
3/25/09,49.02,7749.810059,30.85,27.600048,,,,
3/26/09,51.029999,7924.560059,32.400002,29.001501,,,,
3/27/09,50.330002,7776.180176,31.879999,27.886059,,,,
3/30/09,48.650002,7522.02002,30.360001,26.513206,,,,
3/31/09,49.720001,7608.919922,30.85,26.560875,,,,
4/1/09,50.650002,7761.600098,31.110001,26.989891,,,,
4/2/09,52.130001,7978.080078,32.57,29.144506,,,,
4/3/09,52.110001,8017.589844,32.439999,28.791759,,,,
4/6/09,52.080002,7975.850098,32.150002,28.400879,,,,
4/7/09,50.799999,7789.560059,30.709999,27.924192,,,,
4/8/09,51.380001,7837.109863,30.6,28.238806,,,,
4/9/09,53.130001,8083.379883,32.540001,29.59259,,,,
4/13/09,53.349998,8057.810059,32.240002,28.858496,,,,
4/14/09,52.939999,7920.180176,31.51,28.801292,,,,
4/15/09,53.73,8029.620117,31.16,29.239843,,,,
4/16/09,54.759998,8125.430176,33.150002,30.021606,,,,
4/17/09,53.810001,8131.330078,32.220001,30.021606,,,,
4/20/09,51.970001,7841.72998,31.25,28.400879,,,,
4/21/09,53.290001,7969.560059,31.76,29.134974,,,,
4/22/09,53.060001,7886.569824,33,30.21228,,,,
4/23/09,54.209999,7957.060059,33.259998,30.870106,,,,
