Date,Close,DOW,Discover,OMF,AvgClose60Days,GeneralStockPrice,Competitor1,Competitor2
7/31/14,23,16563.30078,61.060001,26.18,,,,
8/1/14,23,16493.36914,60.119999,26.01,,,,
8/4/14,23,16569.2793,60.459999,26.24,,,,
8/5/14,23,16429.4707,59.59,26.01,,,,
8/6/14,22.98,16443.33984,59.82,26.360001,,,,
8/7/14,22.93,16368.26953,59.150002,29.65,,,,
8/8/14,22.950001,16553.92969,60.049999,32.880001,,,,
8/11/14,22.93,16569.98047,60.290001,32.450001,,,,
8/12/14,23,16560.53906,60.57,32.869999,,,,
8/13/14,23.18,16651.80078,61.09,32.700001,,,,
8/14/14,23.01,16713.58008,60.810001,32.59,,,,
8/15/14,23,16662.91016,60.369999,32.459999,,,,
8/18/14,23.17,16838.74023,61.060001,32.91,,,,
8/19/14,24.41,16919.58984,61.240002,32.900002,,,,
8/20/14,25.190001,16979.13086,62.119999,32.689999,,,,
8/21/14,25.389999,17039.49023,62.439999,32.689999,,,,
8/22/14,25.360001,17001.2207,62.029999,32.66,,,,
8/25/14,25.120001,17076.86914,62.66,32.880001,,,,
8/26/14,25.049999,17106.69922,62.599998,33.110001,,,,
8/27/14,25.469999,17122.00977,62.73,33.049999,,,,
8/28/14,25.690001,17079.57031,62.41,32.950001,,,,
8/29/14,25.790001,17098.44922,62.369999,33.279999,,,,
9/2/14,25.790001,17067.56055,63.470001,33.630001,,,,
9/3/14,25.790001,17078.2793,63.599998,33.75,,,,
9/4/14,25.700001,17069.58008,63.41,34.5,,,,
9/5/14,25.77,17137.35938,63.759998,34.439999,,,,
9/8/14,24.84,17111.41992,63.540001,34.23,,,,
9/9/14,25.040001,17013.86914,62.939999,34.419998,,,,
9/10/14,24.700001,17068.71094,62.990002,34.34,,,,
9/11/14,24.65,17049,62.740002,34.740002,,,,
9/12/14,24.5,16987.50977,62.43,34.23,,,,
9/15/14,24.15,17031.14063,62.779999,33.599998,,,,
9/16/14,24.309999,17131.9707,63.419998,33.360001,,,,
9/17/14,24.549999,17156.84961,64.660004,33.66,,,,
9/18/14,24.67,17265.99023,65.589996,33.66,,,,
9/19/14,25.41,17279.74023,65.300003,32.860001,,,,
9/22/14,24.84,17172.67969,65.169998,32.52,,,,
9/23/14,24.58,17055.86914,64.379997,32.25,,,,
9/24/14,24.92,17210.06055,64.870003,32.5,,,,
9/25/14,24.629999,16945.80078,63.650002,32.220001,,,,
9/26/14,24.77,17113.15039,64.970001,32.580002,,,,
9/29/14,24.700001,17071.2207,64.449997,32.349998,,,,
9/30/14,24.549999,17042.90039,64.389999,31.93,,,,
10/1/14,24.219999,16804.71094,63.529999,32.040001,,,,
10/2/14,24.58,16801.05078,63.68,32.380001,,,,
10/3/14,24.83,17009.68945,64.830002,32.450001,,,,
10/6/14,25,16991.91016,64.93,32.490002,,,,
10/7/14,24.85,16719.39063,63.48,32.27,,,,
10/8/14,25.02,16994.2207,64.830002,32.740002,,,,
10/9/14,24.549999,16659.25,63.509998,32.849998,,,,
10/10/14,24.200001,16544.09961,62.82,32.389999,,,,
10/13/14,24.459999,16321.07031,61.919998,32.740002,,,,
10/14/14,24.85,16315.19043,62.669998,33.849998,,,,
10/15/14,24.52,16141.74023,62.07,33.939999,,,,
10/16/14,24.6,16117.24023,61.82,33.75,,,,
10/17/14,24.780001,16380.41016,62.450001,34.240002,,,,
10/20/14,24.709999,16399.66992,62.700001,35.09,,,,
10/21/14,25.17,16614.81055,64.379997,35.98,,,,
10/22/14,25.379999,16461.32031,61.009998,35.220001,,,,
10/23/14,25.809999,16677.90039,61.889999,35.330002,,,,
10/24/14,26.110001,16805.41016,62.34,35.290001,,,,
10/27/14,26.530001,16817.93945,62.240002,35.349998,,,,
10/28/14,26.85,17005.75,63.119999,36.240002,,,,
10/29/14,27,16974.31055,62.959999,36.860001,,,,
10/30/14,26.790001,17195.41992,62.84,36.959999,,,,
10/31/14,27.02,17390.51953,63.779999,37.419998,,,,
