Date,Pred,Actual
1/2/19,30.567259,24.27
1/3/19,30.337835,24.09
1/4/19,30.105577,25.24
1/7/19,29.93324,25.370001
1/8/19,29.879286,25.42
1/9/19,29.913488,25.99
1/10/19,29.905968,25.75
1/11/19,29.85181,26.02
1/14/19,29.690002,25.85
1/15/19,29.483318,25.77
1/16/19,29.217318,26.379999
1/17/19,28.777494,26.35
1/18/19,28.567717,26.280001
1/22/19,28.370098,26.549999
1/23/19,28.280352,29.4
1/24/19,28.163576,29.809999
1/25/19,28.09852,29.790001
1/28/19,27.939608,29.98
1/29/19,27.642437,29.65
1/30/19,27.331886,30.07
1/31/19,27.099104,30.040001
2/1/19,27.222345,29.690001
2/4/19,27.272154,29.719999
2/5/19,27.239399,29.99
2/6/19,27.09084,30.110001
2/7/19,26.87256,30.110001
2/8/19,26.604519,29.940001
2/11/19,26.341173,30.370001
2/12/19,26.048862,30.440001
2/13/19,25.875626,30.77
2/14/19,25.798227,30.83
2/15/19,25.827585,31.75
