	RandomForest - MMM	RandomForest - SYF
Average baseline error	61.16	3.3
Mean Squared baseline error	3777.68	16.06
Mean Absolute Error	4.09	4.36
Mean Squared Error	21.65	24.19
Accuracy: 	97.92%	85.1
R^2	-1.29	0.06
Variable: Competitior #1	0.33	0.3
Variable: Comptetitor #2	0.3	0.17
Variable: GeneralStockPrice	0.26	0.35
Variable: AvgClose60Days	0.11	0.07
Variable: Month	0.01	0.09
Variable: Day	0	0.01
Variable: Year	0	0.02
		
Date                        		
1/2/19	0     195.788380	1/2/19    1/2/19  24.12002
1/3/19	1     195.700230	1/3/19    1/3/19  24.21656
1/4/19	2     195.591320	1/4/19    1/4/19  24.17997
1/7/19	3     195.750300	1/7/19    1/7/19  24.16682
1/8/19	4     195.469780	1/8/19    1/8/19  24.04660
1/9/19	5     194.912060	1/9/19    1/9/19  23.49729
1/10/19	6     194.918870	1/10/19  1/10/19  23.49244
1/11/19	7     194.810210	1/11/19  1/11/19  23.48555
1/14/19	8     193.840080	1/14/19  1/14/19  23.56848
1/15/19	9     193.889330	1/15/19  1/15/19  23.58844
1/16/19	10    193.845300	1/16/19  1/16/19  23.57119
1/17/19	11    193.639580	1/17/19  1/17/19  23.52776
1/18/19	12    193.544490	1/18/19  1/18/19  23.57167
1/22/19	13    190.256689	1/22/19  1/22/19  23.56068
1/23/19	14    190.093978	1/23/19  1/23/19  23.54094
1/24/19	15    190.031148	1/24/19  1/24/19  23.54961
1/25/19	16    191.655468	1/25/19  1/25/19  23.56128
1/28/19	17    193.607207	1/28/19  1/28/19  23.55830
1/29/19	18    193.966757	1/29/19  1/29/19  23.55850
1/30/19	19    194.313938	1/30/19  1/30/19  23.56187
1/31/19	20    194.094067	1/31/19  1/31/19  23.56240
2/1/19	21    195.626440	2/1/19    2/1/19  23.94415
2/4/19	22    195.820540	2/4/19    2/4/19  23.93604
2/5/19	23    195.877790	2/5/19    2/5/19  23.92817
2/6/19	24    195.943490	2/6/19    2/6/19  24.13035
2/7/19	25    196.053140	2/7/19    2/7/19  24.50986
2/8/19	26    195.930940	2/8/19    2/8/19  25.07037
2/11/19	27    197.541000	2/11/19  2/11/19  37.73567
2/12/19	28    198.747600	2/12/19  2/12/19  37.73960
2/13/19	29    202.127009	2/13/19  2/13/19  37.76392
2/14/19	30    202.281879	2/14/19  2/14/19  37.93158
2/15/19	31    203.895429	2/15/19  2/15/19  37.57323
