compound,Date,neg,neu,pos
0.351566667,2/15/17,0.086,0.815666667,0.098333333
0.9988,2/18/16,0.034,0.863,0.103
0.9995,5/13/17,0.032,0.795,0.173
0.994,12/9/16,0.089,0.793,0.118
0.9795,6/17/16,0.013,0.909,0.078
0.9744,12/7/16,0.038,0.879,0.084
0.911,6/10/16,0.059,0.858,0.083
0.9852,11/7/16,0.043,0.86,0.096
-0.9908,7/19/16,0.093,0.855,0.051
,2/15/16,,,
0.9727,1/24/17,0.076,0.828,0.096
0.9459,1/28/17,0.085,0.812,0.103
-0.9823,3/26/16,0.108,0.826,0.065
,9/14/16,,,
0.9855,2/5/17,0.095,0.76,0.146
0.9863,6/29/16,0.059,0.831,0.11
0.9838,5/22/17,0.04,0.867,0.094
0.9673,4/5/17,0.0435,0.85725,0.09925
0.9963,3/2/17,0.035,0.84,0.125
0.986,12/30/16,0.039,0.875,0.086
,9/20/16,,,
0.9362,5/27/17,0.059,0.869,0.072
0.9997,6/23/17,0.062,0.798,0.14
-0.2247,4/12/16,0.043,0.918,0.039
1,5/15/16,0.06,0.785,0.155
-0.20225,1/18/17,0.0785,0.8405,0.081
0.9849,4/1/17,0.012,0.887,0.1
-0.7683,3/16/17,0.067,0.858,0.075
0.995,1/5/17,0.032,0.809,0.159
0.999,2/18/17,0.095,0.731,0.174
0.9866,3/19/16,0.029,0.866,0.106
0.9981,5/19/16,0.066,0.796,0.139
0.98495,6/30/16,0.069,0.8275,0.1035
,12/8/16,,,
0.9981,5/27/16,0.022,0.828,0.15
0.9888,9/15/16,0.046,0.869,0.085
0.9994,3/20/17,0.046,0.749,0.205
0.9485,1/17/17,0.027,0.921,0.051
0.5933,3/7/17,0.091,0.812,0.097
-0.9973,2/16/16,0.175,0.788,0.037
0.9829,1/4/16,0.035,0.861,0.104
0.9904,10/25/16,0.039,0.871,0.09
0.9932,2/17/17,0.098,0.761,0.141
0.975,6/16/17,0.014,0.884,0.102
-0.836,4/17/17,0.118,0.789,0.094
-0.9987,1/13/16,0.133,0.831,0.036
0.9999,5/26/17,0.045,0.768,0.187
0.98905,6/3/17,0.0505,0.854,0.0955
0.9995,12/12/16,0.058,0.758,0.184
-0.9954,5/21/16,0.132,0.776,0.092
-0.9769,4/1/16,0.103,0.832,0.065
,5/9/16,,,
0.5237,9/13/16,0.101,0.795,0.104
0.9955,4/25/16,0.078,0.791,0.131
-0.7184,3/3/16,0.086,0.841,0.074
0.987,4/23/17,0.052,0.84,0.108
0.9965,12/21/16,0.04,0.832,0.129
-0.6808,3/7/16,0.093,0.813,0.094
0.9829,10/13/16,0.044,0.848,0.107
0.97835,5/21/17,0.0175,0.857,0.1255
0.8834,8/25/16,0,0.9,0.1
0.9929,11/23/16,0.056,0.827,0.117
0.9201,5/23/16,0.057,0.837,0.107
,12/25/16,,,
0.9935,12/22/16,0.043,0.864,0.093
0.9896,12/14/16,0.027,0.848,0.125
-0.953,10/5/16,0.093,0.848,0.059
0.9888,3/3/17,0.083,0.787,0.13
0.9981,4/6/17,0.038,0.801,0.161
0.995,1/27/17,0.051,0.85,0.098
0.9904,6/15/17,0.011,0.898,0.09
0.9901,6/29/17,0.044,0.878,0.077
0.9942,8/22/16,0.02,0.879,0.101
0.9996,4/24/17,0.057,0.782,0.161
0.3919,10/26/16,0.029,0.927,0.044
-0.9468,4/4/17,0.072,0.866,0.062
0.99595,3/28/17,0.031,0.8515,0.1175
0.98945,3/21/17,0.0355,0.835,0.1285
-0.9498,11/2/16,0.094,0.833,0.073
-0.7184,3/2/16,0.086,0.841,0.074
0.9187,1/26/17,0.049,0.874,0.078
0.2263,7/10/16,0.083,0.835,0.082
0.9978,6/6/17,0.024,0.8,0.177
0.4538,10/14/16,0.077,0.837,0.086
0.9969,7/14/16,0.029,0.842,0.129
0.9955,5/5/17,0.009,0.863,0.128
0.7876,6/21/17,0.064,0.863,0.074
0.994,10/23/16,0.109,0.725,0.166
-0.986,2/9/16,0.147,0.813,0.04
0.982,4/6/16,0.045,0.878,0.077
0.9682,5/29/17,0.023,0.872,0.105
0.961,3/1/16,0.074,0.802,0.124
0.9995,11/4/16,0.06,0.804,0.136
0.9991,5/16/17,0.02,0.842,0.138
0.9997,8/31/16,0.046,0.84,0.114
0.9955,10/21/16,0.084,0.784,0.132
0.9978,6/27/17,0.037,0.851,0.112
-0.9916,4/12/17,0.111,0.852,0.037
0.985566667,9/14/16,0.042666667,0.846333333,0.110666667
0.9983,7/5/16,0.063,0.807,0.13
0.9162,12/5/16,0.06,0.871,0.069
-0.89,6/2/17,0.078,0.851,0.071
0.9997,8/17/16,0.074,0.736,0.19
0.8858,11/9/16,0.036,0.894,0.069
-0.9847,10/18/16,0.081,0.868,0.051
0.9855,9/17/16,0.053,0.854,0.093
