,compound,date,neg,neu,pos
0,0.9951,2017-03-19,0.027999999999999997,0.7509999999999999,0.22
1,0.9982,2016-04-27,0.057,0.784,0.16
2,0.9855,2016-09-18,0.038,0.8759999999999999,0.086
3,0.9752,2016-01-02,0.027999999999999997,0.87,0.102
4,-0.9477,2016-06-19,0.059000000000000004,0.894,0.047
5,0.9643,2016-08-03,0.07400000000000001,0.8270000000000001,0.1
6,-0.8347,2016-06-17,0.13999999999999999,0.768,0.092
7,0.884875,2017-02-01,0.0385,0.8612500000000001,0.1
8,-0.9922,2016-04-07,0.14,0.7759999999999999,0.083
9,0.0,2017-01-15,0.0855,0.8185,0.096
10,0.9191499999999999,2016-03-29,0.0805,0.8265,0.0925
11,,2016-10-03,,,
12,0.9967,2016-09-26,0.053,0.835,0.11199999999999999
13,0.3922999999999999,2016-09-07,0.04866666666666667,0.8873333333333333,0.06466666666666666
14,0.053125000000000006,2016-11-20,0.051000000000000004,0.85,0.09949999999999999
15,0.4767,2016-08-19,0.07400000000000001,0.845,0.081
16,0.9925,2017-01-12,0.052000000000000005,0.841,0.107
17,0.9201,2016-04-05,0.077,0.821,0.102
18,0.8683333333333333,2016-04-29,0.04566666666666667,0.8636666666666667,0.09100000000000001
19,0.5346,2016-07-16,0.04,0.8909999999999999,0.07
20,-0.029949999999999977,2016-08-26,0.085,0.8425,0.07250000000000001
21,-0.9063,2016-01-09,0.08199999999999999,0.867,0.051
22,-0.9107,2016-04-02,0.083,0.862,0.055
23,0.5997199999999999,2016-01-28,0.06420000000000001,0.849,0.08659999999999998
24,0.008349999999999969,2016-06-03,0.07150000000000001,0.8260000000000001,0.10300000000000001
25,0.25560000000000005,2016-05-04,0.076,0.835,0.089
26,-0.02410000000000001,2017-06-08,0.10300000000000001,0.8015,0.0955
27,0.6966142857142856,2016-01-19,0.07842857142857143,0.8118571428571429,0.10971428571428572
28,0.128,2016-07-07,0.027000000000000003,0.941,0.032
29,0.6065,2016-11-08,0.04,0.8690000000000001,0.09133333333333334
30,0.2979,2015-12-31,0.066,0.87,0.064
31,0.9971,2016-07-08,0.054000000000000006,0.841,0.105
32,0.975,2016-06-09,0.051,0.867,0.08199999999999999
33,,2016-9-12,,,
34,0.948775,2016-03-04,0.06525,0.81225,0.12225
35,-0.3521000000000001,2016-11-01,0.13933333333333334,0.7856666666666667,0.07466666666666667
36,-0.20775,2016-02-11,0.07800000000000001,0.8560000000000001,0.066
37,0.981,2016-05-12,0.08800000000000001,0.7809999999999999,0.132
38,0.9915,2017-02-09,0.027999999999999997,0.84,0.131
39,0.2351,2016-02-16,0.10266666666666667,0.8103333333333333,0.08633333333333333
40,0.9974,2016-11-19,0.049,0.818,0.133
41,0.9742,2016-03-12,0.018000000000000002,0.9109999999999999,0.071
42,,2016-9-26,,,
43,0.9766,2016-10-25,0.024,0.894,0.08199999999999999
44,0.866175,2016-11-14,0.05550000000000001,0.853,0.09175
45,0.9961,2017-06-16,0.033,0.804,0.163
46,0.9636,2016-10-16,0.035,0.895,0.07
47,0.9449,2016-01-23,0.079,0.807,0.114
48,0.9902,2016-10-01,0.065,0.818,0.11800000000000001
49,0.53782,2016-01-20,0.0774,0.8382,0.0844
50,-0.009199999999999986,2017-02-08,0.085,0.837,0.078
51,0.7596666666666666,2016-11-23,0.07166666666666667,0.8276666666666667,0.10066666666666667
52,-0.9853,2016-04-18,0.09,0.8640000000000001,0.046
53,0.73075,2016-09-05,0.08349999999999999,0.8155000000000001,0.10149999999999999
54,-0.0028000000000000247,2016-01-11,0.0785,0.861,0.0605
55,0.9756,2016-07-12,0.07200000000000001,0.807,0.12
56,-0.57365,2016-01-05,0.08349999999999999,0.8374999999999999,0.079
57,-0.992,2016-02-10,0.14,0.7659999999999999,0.095
58,0.9814,2016-05-03,0.051,0.848,0.10099999999999999
59,0.97265,2016-11-03,0.0415,0.8739999999999999,0.0845
60,0.9935,2016-03-18,0.024,0.8690000000000001,0.107
61,0.9839,2016-03-23,0.032,0.892,0.076
62,0.9856,2017-03-25,0.087,0.805,0.107
63,0.9485,2016-05-01,0.03,0.893,0.077
64,0.8201,2016-12-19,0.04,0.894,0.066
65,-0.9956,2017-07-02,0.133,0.787,0.081
66,-0.9449333333333333,2017-06-07,0.08700000000000001,0.8426666666666667,0.07
67,0.9816666666666668,2016-03-02,0.054333333333333345,0.839,0.107
68,0.9724,2016-04-08,0.019,0.907,0.07400000000000001
69,0.002950000000000008,2016-10-15,0.096,0.8065,0.0975
70,-0.9818,2017-06-06,0.08900000000000001,0.843,0.068
71,0.93225,2017-05-05,0.038,0.8860000000000001,0.076
72,0.9125,2016-02-01,0.078,0.826,0.096
73,-0.9631,2016-09-21,0.083,0.8590000000000001,0.057999999999999996
74,0.4149,2017-03-24,0.08199999999999999,0.835,0.08199999999999999
75,-0.99,2016-04-06,0.106,0.807,0.087
76,0.9415,2016-09-01,0.01,0.9309999999999999,0.059000000000000004
77,0.9982,2016-11-04,0.042,0.8290000000000001,0.13
78,0.9857,2017-05-04,0.049,0.865,0.086
79,0.9315500000000001,2017-03-05,0.051500000000000004,0.8640000000000001,0.08449999999999999
80,0.8746,2016-07-09,0.076,0.8235,0.1
81,0.8658,2016-08-11,0.061,0.857,0.08199999999999999
82,-0.9808,2016-02-06,0.098,0.853,0.049
83,-0.9853,2017-01-29,0.11800000000000001,0.7809999999999999,0.10099999999999999
84,0.968,2017-05-02,0.0415,0.8405,0.11800000000000001
85,0.9940000000000001,2016-12-17,0.013999999999999999,0.883,0.10300000000000001
86,0.58774,2017-02-25,0.05840000000000001,0.8310000000000001,0.1106
87,0.9944666666666667,2016-12-31,0.060000000000000005,0.8326666666666666,0.10733333333333334
88,0.7018,2016-06-22,0.03,0.9229999999999999,0.046
89,0.02065,2016-12-07,0.101,0.7815000000000001,0.118
90,-0.002850000000000019,2016-04-13,0.1225,0.8,0.077
91,0.9993,2017-01-07,0.081,0.8079999999999999,0.11
92,0.9211,2016-11-26,0.0435,0.8665,0.09
93,-0.004049999999999998,2016-06-25,0.0915,0.8140000000000001,0.0945
94,0.7029599999999999,2016-11-07,0.07139999999999999,0.8154,0.11299999999999999
95,-0.89325,2017-06-26,0.0935,0.847,0.0595
96,0.9966999999999999,2016-10-09,0.0455,0.8285,0.126
97,0.9127,2016-11-13,0.057999999999999996,0.8690000000000001,0.073
98,0.14535000000000003,2016-09-02,0.0565,0.887,0.057
99,0.22076666666666667,2016-10-10,0.051333333333333335,0.8623333333333334,0.08600000000000001
100,0.9923,2016-03-26,0.0615,0.8220000000000001,0.11649999999999999
101,0.9790000000000001,2017-01-21,0.076,0.8170000000000001,0.107
102,-0.9954,2017-01-13,0.11800000000000001,0.8320000000000001,0.05
103,0.9988,2016-06-06,0.027999999999999997,0.838,0.134
104,0.9967,2016-05-11,0.048,0.8370000000000001,0.11599999999999999
105,-0.06593333333333333,2017-05-22,0.07366666666666667,0.8303333333333334,0.09600000000000002
106,0.87546,2017-03-02,0.033800000000000004,0.8526,0.11320000000000001
107,0.9439,2017-05-15,0.10300000000000001,0.779,0.11699999999999999
108,0.501525,2016-05-02,0.0595,0.8527499999999999,0.08800000000000001
