,compound,date,neg,neu,pos
0,0.35156666666666664,2017-02-15,0.08600000000000001,0.8156666666666667,0.09833333333333333
1,0.9988,2016-02-18,0.034,0.863,0.10300000000000001
2,0.9995,2017-05-13,0.032,0.795,0.17300000000000001
3,0.9940000000000001,2016-12-09,0.08900000000000001,0.7929999999999999,0.11800000000000001
4,0.9795,2016-06-17,0.013000000000000001,0.909,0.078
5,0.9744,2016-12-07,0.038,0.879,0.084
6,0.9109999999999999,2016-06-10,0.059000000000000004,0.858,0.083
7,0.9852,2016-11-07,0.043,0.86,0.096
8,-0.9908,2016-07-19,0.09300000000000001,0.855,0.051
9,,2016-02-15,,,
10,0.9727,2017-01-24,0.076,0.828,0.096
11,0.9459,2017-01-28,0.085,0.812,0.10300000000000001
12,-0.9823,2016-03-26,0.10800000000000001,0.826,0.065
13,,2016-9-14,,,
14,0.9855,2017-02-05,0.095,0.76,0.146
15,0.9863,2016-06-29,0.059000000000000004,0.831,0.11
16,0.9838,2017-05-22,0.04,0.867,0.094
17,0.9672999999999999,2017-04-05,0.043500000000000004,0.8572500000000001,0.09925
18,0.9963,2017-03-02,0.035,0.84,0.125
19,0.986,2016-12-30,0.039,0.875,0.086
20,,2016-9-20,,,
21,0.9362,2017-05-27,0.059000000000000004,0.8690000000000001,0.07200000000000001
22,0.9997,2017-06-23,0.062,0.7979999999999999,0.14
23,-0.2247,2016-04-12,0.043,0.9179999999999999,0.039
24,1.0,2016-05-15,0.06,0.785,0.155
25,-0.20225000000000004,2017-01-18,0.0785,0.8405,0.081
26,0.9849,2017-04-01,0.012,0.887,0.1
27,-0.7683,2017-03-16,0.067,0.858,0.075
28,0.995,2017-01-05,0.032,0.809,0.159
29,0.9990000000000001,2017-02-18,0.095,0.731,0.174
30,0.9866,2016-03-19,0.028999999999999998,0.866,0.106
31,0.9981,2016-05-19,0.066,0.7959999999999999,0.139
32,0.98495,2016-06-30,0.069,0.8275,0.10350000000000001
33,,2016-12-08,,,
34,0.9981,2016-05-27,0.022000000000000002,0.828,0.15
35,0.9888,2016-09-15,0.046,0.8690000000000001,0.085
36,0.9994,2017-03-20,0.046,0.7490000000000001,0.205
37,0.9485,2017-01-17,0.027000000000000003,0.9209999999999999,0.051
38,0.5933,2017-03-07,0.091,0.812,0.09699999999999999
39,-0.9973,2016-02-16,0.175,0.7879999999999999,0.037000000000000005
40,0.9829,2016-01-04,0.035,0.861,0.10400000000000001
