,compound,date,neg,neu,pos
0,0.8732,2016-06-24,0.033,0.9259999999999999,0.04
1,0.8153,2016-10-07,0.08,0.836,0.085
2,-0.9751,2016-12-28,0.068,0.87,0.062
3,0.9979,2016-06-19,0.061,0.807,0.132
4,-0.9859,2017-01-16,0.10400000000000001,0.866,0.028999999999999998
5,0.9969,2016-02-27,0.048,0.818,0.134
6,0.9955,2016-04-25,0.078,0.7909999999999999,0.131
7,0.9258,2016-07-10,0.068,0.85,0.08199999999999999
8,-0.5927,2017-02-21,0.09300000000000001,0.816,0.091
9,-0.9863,2016-03-07,0.05,0.927,0.023
10,0.9847,2016-07-01,0.02,0.847,0.133
11,0.8824,2016-03-19,0.055999999999999994,0.873,0.071
12,0.9947,2016-02-23,0.055999999999999994,0.816,0.127
13,0.9737,2016-12-14,0.057999999999999996,0.843,0.099
14,0.9881,2016-03-01,0.06,0.8140000000000001,0.127
15,0.9825,2016-03-11,0.042,0.853,0.105
16,-0.8859999999999999,2016-08-08,0.092,0.8440000000000001,0.064
17,-0.9807,2017-02-06,0.08199999999999999,0.845,0.073
18,0.9842,2016-06-28,0.071,0.8240000000000001,0.105
19,0.9544,2017-03-07,0.047,0.865,0.087
