,compound,date,neg,neu,pos
0,0.9989,2016-04-15,0.031,0.865,0.10300000000000001
1,0.9975,2016-02-04,0.021,0.7829999999999999,0.196
2,0.997,2017-05-26,0.032,0.769,0.19899999999999998
3,0.9524,2016-12-30,0.022000000000000002,0.9,0.078
4,0.9321,2017-02-28,0.065,0.831,0.10300000000000001
5,0.7765,2016-12-16,0.063,0.873,0.065
6,-0.9229,2016-08-23,0.08800000000000001,0.848,0.063
7,0.9918,2016-01-23,0.023,0.877,0.1
8,0.9571,2016-01-26,0.033,0.887,0.079
9,0.9999,2017-02-25,0.05,0.74,0.21
10,-0.5606,2017-03-16,0.064,0.878,0.057999999999999996
11,0.9975,2017-02-21,0.019,0.894,0.087
12,,2016-03-25,,,
13,-0.9631,2016-03-07,0.105,0.804,0.091
14,-0.9682,2017-04-07,0.073,0.8759999999999999,0.051
15,0.672,2016-02-09,0.055,0.887,0.057999999999999996
16,0.9836,2016-04-24,0.03,0.893,0.077
17,0.9468,2016-04-26,0.08199999999999999,0.8059999999999999,0.11199999999999999
18,0.9781,2017-05-04,0.022000000000000002,0.894,0.084
19,0.997,2017-06-27,0.043,0.797,0.161
20,0.9998,2017-06-01,0.081,0.7929999999999999,0.126
21,0.9855,2017-02-23,0.036000000000000004,0.9,0.064
22,,2017-04-13,,,
23,0.9158,2016-03-31,0.034,0.915,0.05
24,-0.4891,2016-03-24,0.08,0.83,0.09
25,0.9995,2017-03-20,0.059000000000000004,0.8170000000000001,0.125
26,,2016-04-23,,,
27,0.9809,2017-02-05,0.043,0.86,0.09699999999999999
28,0.9397,2017-06-02,0.034,0.9,0.066
29,0.9836,2016-02-03,0.059000000000000004,0.833,0.107
30,-0.8979,2017-01-06,0.132,0.81,0.057999999999999996
31,0.9971,2016-05-01,0.011000000000000001,0.865,0.124
32,0.9358,2017-04-24,0.10800000000000001,0.736,0.156
33,-0.3645,2016-10-25,0.061500000000000006,0.889,0.0495
